Province/State,Country/Region,Latitude,Longitude
Liaoning,China,41.2956,122.6085
Macau,China,22.1667,113.55
Ningxia,China,37.2692,106.1655
Qinghai,China,35.7452,95.9956
Shaanxi,China,35.1917,108.8701
Shandong,China,36.3427,118.1498
Shanghai,China,31.201999999999998,121.4491
Shanxi,China,37.5777,112.2922
Sichuan,China,30.6171,102.7103
Tianjin,China,39.3054,117.323
Tibet,China,31.6927,88.0924
Xinjiang,China,41.1129,85.2401
Yunnan,China,24.974,101.48700000000001
Zhejiang,China,29.1832,120.0934
,Colombia,4.5709,-74.2973
,Congo (Brazzaville),-4.0383,21.7587
,Congo (Kinshasa),-4.0383,21.7587
,Costa Rica,9.7489,-83.7534
,Cote d'Ivoire,7.54,-5.5471
,Croatia,45.1,15.2
Diamond Princess,Cruise Ship,35.4437,139.638
,Cuba,22.0,-80.0
,Curacao,12.1696,-68.99
,Cyprus,35.1264,33.4299
,Czech Republic,49.8175,15.472999999999999
,Czechia,49.8175,15.472999999999999
Denmark,Denmark,56.2639,9.5018
Faroe Islands,Denmark,61.8926,-6.9118
Greenland,Denmark,71.7069,-42.6043
,Denmark,56.2639,9.5018
,Djibouti,11.8251,42.5903
,Dominican Republic,18.7357,-70.1627
,East Timor,-8.55,125.56
,Ecuador,-1.8312,-78.1834
,Egypt,26.0,30.0
,El Salvador,13.7942,-88.8965
,Equatorial Guinea,1.5,10.0
,Eritrea,15.1794,39.7823
,Estonia,58.5953,25.0136
,Eswatini,-26.5225,31.4659
,Ethiopia,9.145,40.4897
,Faroe Islands,61.8926,-6.9118
,Fiji,-17.7134,178.065
,Finland,64.0,26.0
Fench Guiana,France,4.0,-53.0
France,France,46.2276,2.2137
French Guiana,France,3.9339,-53.1258
French Polynesia,France,-17.6797,149.4068
Guadeloupe,France,16.25,-61.5833
Mayotte,France,-12.8275,45.1662
New Caledonia,France,-20.9043,165.618
Reunion,France,-21.1351,55.2471
Saint Barthelemy,France,17.9,-62.8333
St Martin,France,18.0708,-63.0501
,France,47.0,2.0
,French Guiana,3.9339,-53.1258
,Gabon,-0.8037,11.6094
,"Gambia, The",13.4432,-15.3101
,Georgia,42.3154,43.3569
,Germany,51.0,9.0
,Ghana,7.9465,-1.0232
,Gibraltar,36.1408,-5.3536
,Greece,39.0742,21.8243
,Greenland,71.7069,-42.6043
,Guadeloupe,16.265,-61.551
,Guam,13.4443,144.7937
,Guatemala,15.7835,-90.2308
,Guernsey,49.45,-2.58
,Guinea,9.9456,-9.6966
,Guyana,5.0,-58.75
,Haiti,18.9712,-72.2852
,Holy See,41.9029,12.4534
,Honduras,15.2,-86.2419
Hong Kong,Hong Kong,22.3,114.2
Hong Kong,Hong Kong SAR,22.3,114.2
,Hungary,47.1625,19.5033
,Iceland,64.9631,-19.0208
,India,21.0,78.0
,Indonesia,-0.7893,113.9213
,Iran,32.0,53.0
,Iran (Islamic Republic of),32.0,53.0
,Iraq,33.0,44.0
,Ireland,53.1424,-7.6921
,Israel,31.0,35.0
,Italy,43.0,12.0
,Jamaica,18.1096,-77.2975
,Japan,36.0,138.0
,Jersey,49.19,-2.11
,Jordan,31.24,36.51
,Kazakhstan,48.0196,66.9237
,Kenya,-0.0236,37.9062
,"Korea, South",36.0,128.0
,Kosovo,42.6026,20.903
,Kuwait,29.5,47.75
,Kyrgyzstan,41.2044,74.7661
,Latvia,56.8796,24.6032
,Lebanon,33.8547,35.8623
,Liberia,6.4281,-9.4295
,Liechtenstein,47.14,9.55
,Lithuania,55.1694,23.8813
,Luxembourg,49.8153,6.1296
Macau,Macao SAR,22.1667,113.55
Macau,Macau,22.1667,113.55
,Madagascar,-18.7669,46.8691
Anhui,Mainland China,31.8257,117.2264
Beijing,Mainland China,40.1824,116.4142
Chongqing,Mainland China,30.0572,107.874
Fujian,Mainland China,26.0789,117.9874
Gansu,Mainland China,36.0611,103.8343
Guangdong,Mainland China,23.3417,113.4244
Guangxi,Mainland China,23.8298,108.7881
Guizhou,Mainland China,26.8154,106.8748
Hainan,Mainland China,19.1959,109.7453
Hebei,Mainland China,38.0428,114.5149
Heilongjiang,Mainland China,47.861999999999995,127.7615
Henan,Mainland China,33.882,113.61399999999999
Hubei,Mainland China,30.9756,112.2707
Hunan,Mainland China,27.6104,111.7088
Inner Mongolia,Mainland China,44.0935,113.9448
Jiangsu,Mainland China,32.9711,119.455
Jiangxi,Mainland China,27.614,115.7221
Jilin,Mainland China,43.6661,126.1923
Liaoning,Mainland China,41.2956,122.6085
Ningxia,Mainland China,37.2692,106.1655
Qinghai,Mainland China,35.7452,95.9956
Shaanxi,Mainland China,35.1917,108.8701
Shandong,Mainland China,36.3427,118.1498
Shanghai,Mainland China,31.201999999999998,121.4491
Shanxi,Mainland China,37.5777,112.2922
Sichuan,Mainland China,30.6171,102.7103
Tianjin,Mainland China,39.3054,117.323
Tibet,Mainland China,31.6927,88.0924
Xinjiang,Mainland China,41.1129,85.2401
Yunnan,Mainland China,24.974,101.48700000000001
Zhejiang,Mainland China,29.1832,120.0934
,Malaysia,2.5,112.5
,Maldives,3.2028,73.2207
,Malta,35.9375,14.3754
,Martinique,14.6415,-61.0242
,Mauritania,21.0079,10.9408
,Mauritius,-20.2,57.5
,Mayotte,-12.8275,45.1662
,Mexico,23.0,-102.0
,Moldova,47.4116,28.3699
,Monaco,43.7333,7.4167
,Mongolia,46.8625,103.8467
,Montenegro,42.5,19.3
,Morocco,31.7917,-7.0926
,Namibia,-22.9576,18.4904
,Nepal,28.1667,84.25
Aruba,Netherlands,12.5186,-70.0358
Curacao,Netherlands,12.1696,-68.99
Netherlands,Netherlands,52.1326,5.2913
Sint Maarten,Netherlands,18.0425,-63.0548
,Netherlands,52.1326,5.2913
,New Zealand,-40.9006,174.886
,Nicaragua,12.8654,-85.2072
,Niger,17.6078,8.0817
,Nigeria,9.082,8.6753
,North Macedonia,41.6086,21.7453
,Norway,60.472,8.4689
,Oman,21.0,57.0
Diamond Princess cruise ship,Others,35.4437,139.638
,Pakistan,30.3753,69.3451
,Palestine,31.9522,35.2332
,Panama,8.538,-80.7821
,Papua New Guinea,-6.315,143.9555
,Paraguay,-23.4425,-58.4438
,Peru,-9.19,-75.0152
,Philippines,13.0,122.0
,Poland,51.9194,19.1451
,Portugal,39.3999,-8.2245
,Puerto Rico,18.2,-66.5
,Qatar,25.3548,51.1839
,Republic of Ireland,53.1424,-7.6921
,Republic of Korea,36.0,128.0
,Republic of Moldova,47.4116,28.3699
,Republic of the Congo,-1.44,15.556
,Reunion,-21.1151,55.5364
,Romania,45.9432,24.9668
,Russia,60.0,90.0
,Russian Federation,60.0,90.0
,Rwanda,-1.9403,29.8739
,Saint Barthelemy,17.9,-62.8333
,Saint Lucia,13.9094,-60.9789
,Saint Martin,18.0708,-63.0501
,Saint Vincent and the Grenadines,12.9843,-61.2872
,San Marino,43.9424,12.4578
,Saudi Arabia,24.0,45.0
,Senegal,14.4974,-14.4524
,Serbia,44.0165,21.0059
,Seychelles,-4.6796,55.492
,Singapore,1.2833,103.8333
,Slovakia,48.669,19.699
,Slovenia,46.1512,14.9955
,Somalia,5.1521,46.1996
,South Africa,-30.5595,22.9375
,South Korea,36.0,128.0
,Spain,40.0,-4.0
,Sri Lanka,7.0,81.0
,St. Martin,18.0708,-63.0501
,Sudan,12.8628,30.2176
,Suriname,3.9193,-56.0278
,Sweden,63.0,16.0
,Switzerland,46.8182,8.2275
Taiwan,Taipei and environs,23.7,121.0
Taiwan,Taiwan,23.7,121.0
,Taiwan*,23.7,121.0
,Tanzania,-6.369,34.8888
,Thailand,15.0,101.0
,The Bahamas,24.25,-76.0
,The Gambia,13.4667,-16.6
,Togo,8.6195,0.8248
,Trinidad and Tobago,10.6918,-61.2225
,Tunisia,34.0,9.0
,Turkey,38.9637,35.2433
,UK,55.0,-3.0
" Norfolk County, MA",US,42.1767,-71.1449
Alabama,US,32.3182,-86.9023
"Alameda County, CA",US,37.6017,-121.7195
Alaska,US,61.3707,-152.4044
Arizona,US,33.7298,-111.4312
Arkansas,US,34.9697,-92.3731
"Bennington County, VT",US,43.0279,-73.135
"Bergen County, NJ",US,40.9263,-74.077
"Berkeley, CA",US,37.8715,-122.273
"Berkshire County, MA",US,42.3118,-73.1822
"Boston, MA",US,42.3601,-71.0589
"Broward County, FL",US,26.1901,-80.3659
California,US,36.1162,-119.6816
"Carver County, MN",US,44.8254,-93.7842
"Charleston County, SC",US,32.7957,-79.7848
"Charlotte County, FL",US,26.8946,-81.9098
"Chatham County, NC",US,35.7211,-79.1781
"Cherokee County, GA",US,34.2515,-84.4803
"Chicago, IL",US,41.8781,-87.6298
"Clark County, NV",US,36.0796,-115.094
"Clark County, WA",US,45.7466,-122.5194
"Cobb County, GA",US,33.8999,-84.5641
"Collin County, TX",US,33.1795,-96.493
Colorado,US,39.0598,-105.3111
Connecticut,US,41.5978,-72.7554
"Contra Costa County, CA",US,37.8534,-121.9018
"Cook County, IL",US,41.7377,-87.6976
"Davidson County, TN",US,36.1343,-86.822
"Davis County, UT",US,40.9629,-112.0953
Delaware,US,39.3185,-75.5071
"Delaware County, PA",US,39.9078,-75.3879
"Denver County, CO",US,39.7392,-104.9903
Diamond Princess,US,35.4437,139.638
District of Columbia,US,38.8974,-77.0268
"Douglas County, CO",US,39.2587,-104.9389
"Douglas County, NE",US,41.3148,-96.1951
"Douglas County, OR",US,43.1261,-123.2492
"El Paso County, CO",US,38.9108,-104.4723
"Fairfax County, VA",US,38.9085,-77.2405
"Fairfield County, CT",US,41.256,-73.3709
"Fayette County, KY",US,38.0606,-84.4803
Florida,US,27.7663,-81.6868
"Floyd County, GA",US,34.2829,-85.2308
"Fort Bend County, TX",US,29.5693,-95.8143
"Fresno County, CA",US,36.9859,-119.2321
"Fulton County, GA",US,33.8034,-84.3963
Georgia,US,33.0406,-83.6431
"Grafton County, NH",US,43.9088,-71.82600000000001
Grand Princess,US,37.6489,-122.6655
Grand Princess Cruise Ship,US,37.6489,-122.6655
"Grant County, WA",US,47.1981,-119.3732
Guam,US,13.4443,144.7937
"Harford County, MD",US,39.5839,-76.3637
"Harris County, TX",US,29.7752,-95.3103
"Harrison County, KY",US,38.4333,-84.3542
Hawaii,US,21.0943,-157.4983
"Hendricks County, IN",US,39.8065,-86.5401
"Hillsborough, FL",US,27.9904,-82.3018
"Honolulu County, HI",US,21.307,-157.8584
"Hudson County, NJ",US,40.7453,-74.0535
"Humboldt County, CA",US,40.745,-123.8695
Idaho,US,44.2405,-114.4788
Illinois,US,40.3495,-88.9861
Indiana,US,39.8494,-86.2583
Iowa,US,42.0115,-93.2105
"Jackson County, OR ",US,42.3345,-122.7647
"Jefferson County, KY",US,38.1938,-85.6435
"Jefferson County, WA",US,47.7425,-123.304
"Jefferson Parish, LA",US,29.6499,-90.1121
"Johnson County, IA",US,41.6699,-91.5984
"Johnson County, KS",US,38.8454,-94.8521
Kansas,US,38.5266,-96.7265
Kentucky,US,37.6681,-84.6701
"Kershaw County, SC",US,34.3672,-80.5883
"King County, WA",US,47.548,-121.9836
"Kittitas County, WA",US,47.175,-120.9319
"Klamath County, OR",US,42.6953,-121.6142
"Lackland, TX (From Diamond Princess)",US,29.3829,-98.6134
"Lee County, FL",US,26.663,-81.9535
"Los Angeles, CA",US,34.0522,-118.2437
Louisiana,US,31.1695,-91.8678
"Madera County, CA",US,37.2519,-119.6963
"Madison, WI",US,43.0731,-89.4012
Maine,US,44.6939,-69.3819
"Manatee County, FL",US,27.4799,-82.3452
"Maricopa County, AZ",US,33.2918,-112.4291
"Marion County, IN",US,39.8362,-86.1752
"Marion County, OR",US,44.8446,-122.5927
Maryland,US,39.0639,-76.8021
Massachusetts,US,42.2302,-71.5301
Michigan,US,43.3266,-84.5361
"Middlesex County, MA",US,42.4672,-71.2874
Minnesota,US,45.6945,-93.9002
Mississippi,US,32.7416,-89.6787
Missouri,US,38.4561,-92.2884
Montana,US,46.9219,-110.4544
"Montgomery County, MD",US,39.1547,-77.2405
"Montgomery County, PA",US,40.229,-75.3879
"Montgomery County, TX",US,30.3213,-95.4778
"Nassau County, NY",US,40.6546,-73.5594
Nebraska,US,41.1254,-98.2681
Nevada,US,38.3135,-117.0554
New Hampshire,US,43.4525,-71.5639
New Jersey,US,40.2989,-74.521
New Mexico,US,34.8405,-106.2485
New York,US,42.1657,-74.9481
"New York City, NY",US,40.7128,-74.006
"New York County, NY",US,40.7128,-74.006
"Norfolk County, MA",US,42.1767,-71.1449
North Carolina,US,35.6301,-79.8064
North Dakota,US,47.5289,-99.78399999999999
"Norwell County, MA",US,42.1615,-70.7928
Ohio,US,40.3888,-82.7649
"Okaloosa County, FL",US,30.5773,-86.6611
Oklahoma,US,35.5653,-96.9289
"Omaha, NE (From Diamond Princess)",US,41.2545,-95.9758
"Orange County, CA",US,33.7879,-117.8531
"Orange, CA",US,33.7879,-117.8531
Oregon,US,44.571999999999996,-122.0709
Pennsylvania,US,40.5908,-77.2098
"Pierce County, WA",US,47.0676,-122.1295
"Pinal County, AZ",US,32.8162,-111.2845
"Placer County, CA",US,39.0916,-120.8039
"Plymouth County, MA",US,42.1615,-70.7928
"Polk County, GA",US,34.0132,-85.1479
"Portland, OR",US,45.5051,-122.675
"Providence County, RI",US,41.8882,-71.4774
"Providence, RI",US,41.824,-71.4128
Puerto Rico,US,18.2208,-66.5901
"Queens County, NY",US,40.7282,-73.7949
"Ramsey County, MN",US,44.9964,-93.0616
Rhode Island,US,41.6809,-71.5118
"Riverside County, CA",US,33.9533,-117.3961
"Rockingham County, NH",US,42.9931,-71.0498
"Rockland County, NY",US,41.1489,-73.983
"Sacramento County, CA",US,38.4747,-121.3542
"San Antonio, TX",US,29.4241,-98.4936
"San Benito, CA",US,36.5761,-120.9876
"San Diego County, CA",US,32.7157,-117.1611
"San Francisco County, CA",US,37.7749,-122.4194
"San Mateo, CA",US,37.563,-122.3255
"Santa Clara County, CA",US,37.3541,-121.9552
"Santa Clara, CA",US,37.3541,-121.9552
"Santa Cruz County, CA",US,36.9741,-122.0308
"Santa Rosa County, FL",US,30.769000000000002,-86.9824
"Sarasota, FL",US,27.3364,-82.5307
"Saratoga County, NY",US,43.0324,-73.936
"Seattle, WA",US,47.6062,-122.3321
"Shasta County, CA",US,40.7909,-121.8474
"Shelby County, TN",US,35.1269,-89.9253
"Snohomish County, WA",US,48.033,-121.8339
"Sonoma County, CA",US,38.578,-122.9888
South Carolina,US,33.8569,-80.945
South Dakota,US,44.2998,-99.4388
"Spartanburg County, SC",US,34.8606,-81.9535
"Spokane County, WA",US,47.6587,-117.4225
"St. Louis County, MO",US,38.6103,-90.4125
"Suffolk County, MA",US,42.3601,-71.0589
"Suffolk County, NY",US,40.9849,-72.6151
"Summit County, CO",US,39.5912,-106.064
"Tempe, AZ",US,33.4255,-111.94
Tennessee,US,35.7478,-86.6923
Texas,US,31.0545,-97.5635
"Travis, CA (From Diamond Princess)",US,38.2721,-121.9399
"Tulsa County, OK",US,36.1593,-95.941
US,US,37.0902,-95.7129
"Ulster County, NY",US,41.8586,-74.3118
"Umatilla, OR",US,45.775,-118.7606
Unassigned Location (From Diamond Princess),US,35.4437,139.638
"Unassigned Location, VT",US,44.3378,-72.7563
"Unassigned Location, WA",US,47.7511,-120.7401
United States Virgin Islands,US,18.35,-64.933
"Unknown Location, MA",US,42.4072,-71.3824
Utah,US,40.15,-111.8624
Vermont,US,44.0459,-72.7107
Virgin Islands,US,18.3358,-64.8963
"Virgin Islands, U.S.",US,18.3358,-64.8963
Virginia,US,37.7693,-78.17
"Volusia County, FL",US,29.028000000000002,-81.0755
"Wake County, NC",US,35.8032,-78.5661
Washington,US,47.4009,-121.4905
"Washington County, OR",US,45.547,-123.1386
"Washington, D.C.",US,38.9072,-77.0369
"Washoe County, NV",US,40.5608,-119.6035
"Wayne County, PA",US,41.6739,-75.2479
West Virginia,US,38.4912,-80.9545
"Westchester County, NY",US,41.122,-73.7949
"Williamson County, TN",US,35.9179,-86.8622
Wisconsin,US,44.2685,-89.6165
Wyoming,US,42.756,-107.3025
"Yolo County, CA",US,38.7646,-121.9018
,Uganda,1.0,32.0
,Ukraine,48.3794,31.1656
,United Arab Emirates,24.0,54.0
Bermuda,United Kingdom,32.3078,-64.7505
Cayman Islands,United Kingdom,19.3133,-81.2546
Channel Islands,United Kingdom,49.3723,-2.3644
Gibraltar,United Kingdom,36.1408,-5.3536
Isle of Man,United Kingdom,54.2361,-4.5481
Montserrat,United Kingdom,16.7425,-62.1874
UK,United Kingdom,55.3781,-3.4360000000000004
United Kingdom,United Kingdom,55.3781,-3.4360000000000004
,Uruguay,-32.5228,-55.7658
,Uzbekistan,41.3775,64.5853
,Vatican City,41.9029,12.4534
,Venezuela,6.4238,-66.5897
,Viet Nam,16.0,108.0
,Vietnam,16.0,108.0
,Zambia,-15.4167,28.2833
,Zimbabwe,-20.0,30.0
,occupied Palestinian territory,31.9522,35.2332
